Category,Uniq_ID,Value
kuppadam pattu sarees,KUPP,21959
kanchi lehengas,KAPL,58
soft silk kanchipuram sarees,KASS,110
kanchi pattu sarees,KANP,5522
uppada soft silk sarees,UPSF,1185
uppada pattu sarees,UPDP,9939
pochampally ikkat pure silk sarees,PIKP,5819
ikkat lehengas,IKPL,118
gadwal pattu sarees,GDWP,387
paithani pure silk sarees,PTNP,10
chanderi soft silk sarees,CNSS,0
chenderi silk sarees,CNDP,5589
linen silk sarees,LINS,372
kollam pattu sarees,KOLP,672
tripura silk sarees,TRPP,1811
organza sarees,ORGS,60
banarasi sarees,BANS,11
chiffon sarees,CHIF,0
kora sarees,KORS,4
georgette sarees,GEOS,0
uppada cotton sarees,UPAT,2905
uppada tissue sarees,UPPI,247
gadwal sico sarees,GAWI,326
gadwal cotton sarees,GAWT,28
uppada sico sarees,UPAI,0
pochampally ikkat cotton sarees,PIKT,10
ikkat cotton sarees,IKCS,0
venkatagiri pattu sarees,VAGP,458
mangalagiri pattu sarees,MAGP,14363
mangalagiri sico sarees,MAGI,177
lichi sarees,LICH,0
handloom sarees,HLMS,2
